2025-10-09 17:04:18.137 | background-preinit | DEBUG | org.jboss.logging | Logging Provider: org.jboss.logging.Slf4jLoggerProvider found via system property
2025-10-09 17:04:18.141 | background-preinit | INFO  | o.h.validator.internal.util.Version | HV000001: Hibernate Validator 8.0.3.Final
2025-10-09 17:04:18.151 | background-preinit | DEBUG | o.h.v.i.x.config.ValidationXmlParser | Trying to load META-INF/validation.xml for XML based Validator configuration.
2025-10-09 17:04:18.152 | background-preinit | DEBUG | o.h.v.i.x.c.ResourceLoaderHelper | Trying to load META-INF/validation.xml via TCCL
2025-10-09 17:04:18.153 | background-preinit | DEBUG | o.h.v.i.x.c.ResourceLoaderHelper | Trying to load META-INF/validation.xml via Hibernate Validator's class loader
2025-10-09 17:04:18.154 | background-preinit | DEBUG | o.h.v.i.x.config.ValidationXmlParser | No META-INF/validation.xml found. Using annotation based configuration only.
2025-10-09 17:04:18.163 | background-preinit | DEBUG | o.h.v.i.e.r.TraversableResolvers | Found jakarta.persistence.Persistence on classpath containing 'getPersistenceUtil'. Assuming JPA 2 environment. Trying to instantiate JPA aware TraversableResolver
2025-10-09 17:04:18.164 | background-preinit | DEBUG | o.h.v.i.e.r.TraversableResolvers | Instantiated JPA aware TraversableResolver of type org.hibernate.validator.internal.engine.resolver.JPATraversableResolver.
2025-10-09 17:04:18.204 | main | INFO  | c.e.b.BasicSpringPracticeApplicationTests | Starting BasicSpringPracticeApplicationTests using Java 21.0.8 with PID 13752 (started by USER in D:\Dhrubok(Intern)\basicSpringPractice\basicSpringPractice)
2025-10-09 17:04:18.205 | background-preinit | DEBUG | o.h.v.m.ResourceBundleMessageInterpolator | Loaded expression factory via original TCCL
2025-10-09 17:04:18.206 | main | DEBUG | c.e.b.BasicSpringPracticeApplicationTests | Running with Spring Boot v3.5.6, Spring v6.2.11
2025-10-09 17:04:18.207 | main | INFO  | c.e.b.BasicSpringPracticeApplicationTests | No active profile set, falling back to 1 default profile: "default"
2025-10-09 17:04:18.207 | main | DEBUG | o.s.boot.SpringApplication | Loading source class com.example.basicSpringPractice.BasicSpringPracticeApplication
2025-10-09 17:04:18.256 | main | DEBUG | o.s.w.c.s.GenericWebApplicationContext | Refreshing org.springframework.web.context.support.GenericWebApplicationContext@b558294
2025-10-09 17:04:18.287 | main | DEBUG | o.s.b.f.s.DefaultListableBeanFactory | Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2025-10-09 17:04:18.314 | main | DEBUG | o.s.b.f.s.DefaultListableBeanFactory | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2025-10-09 17:04:18.378 | background-preinit | DEBUG | o.h.v.i.e.ValidatorFactoryConfigurationHelper | HV000252: Using org.hibernate.validator.internal.engine.DefaultPropertyNodeNameProvider as property node name provider.
2025-10-09 17:04:18.382 | main | DEBUG | o.s.c.a.ClassPathBeanDefinitionScanner | Identified candidate component class: file [D:\Dhrubok(Intern)\basicSpringPractice\basicSpringPractice\target\classes\com\example\basicSpringPractice\auditing\AuditorAwareImpl.class]
2025-10-09 17:04:18.385 | background-preinit | DEBUG | o.h.v.i.e.ValidatorFactoryConfigurationHelper | HV000234: Using org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator as ValidatorFactory-scoped message interpolator.
2025-10-09 17:04:18.385 | background-preinit | DEBUG | o.h.v.i.e.ValidatorFactoryConfigurationHelper | HV000234: Using org.hibernate.validator.internal.engine.resolver.JPATraversableResolver as ValidatorFactory-scoped traversable resolver.
2025-10-09 17:04:18.385 | background-preinit | DEBUG | o.h.v.i.e.ValidatorFactoryConfigurationHelper | HV000234: Using org.hibernate.validator.internal.util.ExecutableParameterNameProvider as ValidatorFactory-scoped parameter name provider.
2025-10-09 17:04:18.385 | background-preinit | DEBUG | o.h.v.i.e.ValidatorFactoryConfigurationHelper | HV000234: Using org.hibernate.validator.internal.engine.DefaultClockProvider as ValidatorFactory-scoped clock provider.
2025-10-09 17:04:18.386 | background-preinit | DEBUG | o.h.v.i.e.ValidatorFactoryConfigurationHelper | HV000234: Using org.hibernate.validator.internal.engine.scripting.DefaultScriptEvaluatorFactory as ValidatorFactory-scoped script evaluator factory.
2025-10-09 17:04:18.389 | main | DEBUG | o.s.c.a.ClassPathBeanDefinitionScanner | Identified candidate component class: file [D:\Dhrubok(Intern)\basicSpringPractice\basicSpringPractice\target\classes\com\example\basicSpringPractice\config\Config.class]
2025-10-09 17:04:18.401 | main | DEBUG | o.s.c.a.ClassPathBeanDefinitionScanner | Identified candidate component class: file [D:\Dhrubok(Intern)\basicSpringPractice\basicSpringPractice\target\classes\com\example\basicSpringPractice\config\SecurityConfig.class]
2025-10-09 17:04:18.417 | main | DEBUG | o.s.c.a.ClassPathBeanDefinitionScanner | Identified candidate component class: file [D:\Dhrubok(Intern)\basicSpringPractice\basicSpringPractice\target\classes\com\example\basicSpringPractice\controller\AdminController.class]
2025-10-09 17:04:18.419 | main | DEBUG | o.s.c.a.ClassPathBeanDefinitionScanner | Identified candidate component class: file [D:\Dhrubok(Intern)\basicSpringPractice\basicSpringPractice\target\classes\com\example\basicSpringPractice\controller\AuthController.class]
2025-10-09 17:04:18.426 | main | DEBUG | o.s.c.a.ClassPathBeanDefinitionScanner | Identified candidate component class: file [D:\Dhrubok(Intern)\basicSpringPractice\basicSpringPractice\target\classes\com\example\basicSpringPractice\controller\CustomerController.class]
2025-10-09 17:04:18.430 | main | DEBUG | o.s.c.a.ClassPathBeanDefinitionScanner | Identified candidate component class: file [D:\Dhrubok(Intern)\basicSpringPractice\basicSpringPractice\target\classes\com\example\basicSpringPractice\controller\OrderController.class]
2025-10-09 17:04:18.432 | main | DEBUG | o.s.c.a.ClassPathBeanDefinitionScanner | Identified candidate component class: file [D:\Dhrubok(Intern)\basicSpringPractice\basicSpringPractice\target\classes\com\example\basicSpringPractice\controller\ProductController.class]
2025-10-09 17:04:18.457 | main | DEBUG | o.s.c.a.ClassPathBeanDefinitionScanner | Identified candidate component class: file [D:\Dhrubok(Intern)\basicSpringPractice\basicSpringPractice\target\classes\com\example\basicSpringPractice\exception\GlobalExceptionHandler.class]
2025-10-09 17:04:18.464 | main | DEBUG | o.s.c.a.ClassPathBeanDefinitionScanner | Ignored because not a concrete top-level class: file [D:\Dhrubok(Intern)\basicSpringPractice\basicSpringPractice\target\classes\com\example\basicSpringPractice\repository\CustomerRepository.class]
2025-10-09 17:04:18.466 | main | DEBUG | o.s.c.a.ClassPathBeanDefinitionScanner | Ignored because not a concrete top-level class: file [D:\Dhrubok(Intern)\basicSpringPractice\basicSpringPractice\target\classes\com\example\basicSpringPractice\repository\OrderRepository.class]
2025-10-09 17:04:18.467 | main | DEBUG | o.s.c.a.ClassPathBeanDefinitionScanner | Ignored because not a concrete top-level class: file [D:\Dhrubok(Intern)\basicSpringPractice\basicSpringPractice\target\classes\com\example\basicSpringPractice\repository\ProductRepository.class]
2025-10-09 17:04:18.470 | main | DEBUG | o.s.c.a.ClassPathBeanDefinitionScanner | Identified candidate component class: file [D:\Dhrubok(Intern)\basicSpringPractice\basicSpringPractice\target\classes\com\example\basicSpringPractice\service\CustomerService.class]
2025-10-09 17:04:18.471 | main | DEBUG | o.s.c.a.ClassPathBeanDefinitionScanner | Identified candidate component class: file [D:\Dhrubok(Intern)\basicSpringPractice\basicSpringPractice\target\classes\com\example\basicSpringPractice\service\JWTService.class]
2025-10-09 17:04:18.473 | main | DEBUG | o.s.c.a.ClassPathBeanDefinitionScanner | Identified candidate component class: file [D:\Dhrubok(Intern)\basicSpringPractice\basicSpringPractice\target\classes\com\example\basicSpringPractice\service\OrderService.class]
2025-10-09 17:04:18.475 | main | DEBUG | o.s.c.a.ClassPathBeanDefinitionScanner | Identified candidate component class: file [D:\Dhrubok(Intern)\basicSpringPractice\basicSpringPractice\target\classes\com\example\basicSpringPractice\service\ProductService.class]
2025-10-09 17:04:18.477 | main | DEBUG | o.s.c.a.ClassPathBeanDefinitionScanner | Identified candidate component class: file [D:\Dhrubok(Intern)\basicSpringPractice\basicSpringPractice\target\classes\com\example\basicSpringPractice\service\UserDetailsServiceImpl.class]
2025-10-09 17:04:18.479 | main | DEBUG | o.s.c.a.ClassPathBeanDefinitionScanner | Identified candidate component class: file [D:\Dhrubok(Intern)\basicSpringPractice\basicSpringPractice\target\classes\com\example\basicSpringPractice\util\PaginationUtil.class]
2025-10-09 17:04:19.401 | main | INFO  | o.s.d.r.c.RepositoryConfigurationDelegate | Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-10-09 17:04:19.412 | main | DEBUG | o.s.b.f.s.DefaultListableBeanFactory | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
2025-10-09 17:04:19.423 | main | DEBUG | o.s.b.a.AutoConfigurationPackages | @EnableAutoConfiguration was declared on a class in the package 'com.example.basicSpringPractice'. Automatic @Repository and @Entity scanning is enabled.
2025-10-09 17:04:19.424 | main | DEBUG | o.s.d.r.c.RepositoryConfigurationDelegate | Scanning for JPA repositories in packages com.example.basicSpringPractice.
2025-10-09 17:04:19.440 | main | DEBUG | o.s.d.r.c.RepositoryComponentProvider | Identified candidate component class: file [D:\Dhrubok(Intern)\basicSpringPractice\basicSpringPractice\target\classes\com\example\basicSpringPractice\repository\CustomerRepository.class]
2025-10-09 17:04:19.440 | main | DEBUG | o.s.d.r.c.RepositoryComponentProvider | Identified candidate component class: file [D:\Dhrubok(Intern)\basicSpringPractice\basicSpringPractice\target\classes\com\example\basicSpringPractice\repository\OrderRepository.class]
2025-10-09 17:04:19.440 | main | DEBUG | o.s.d.r.c.RepositoryComponentProvider | Identified candidate component class: file [D:\Dhrubok(Intern)\basicSpringPractice\basicSpringPractice\target\classes\com\example\basicSpringPractice\repository\ProductRepository.class]
2025-10-09 17:04:19.486 | main | DEBUG | o.s.c.a.ClassPathScanningCandidateComponentProvider | Identified candidate component class: file [D:\Dhrubok(Intern)\basicSpringPractice\basicSpringPractice\target\classes\com\example\basicSpringPractice\auditing\AuditorAwareImpl.class]
2025-10-09 17:04:19.486 | main | DEBUG | o.s.c.a.ClassPathScanningCandidateComponentProvider | Identified candidate component class: file [D:\Dhrubok(Intern)\basicSpringPractice\basicSpringPractice\target\classes\com\example\basicSpringPractice\service\UserDetailsServiceImpl.class]
2025-10-09 17:04:19.515 | main | INFO  | o.s.d.r.c.RepositoryConfigurationDelegate | Finished Spring Data repository scanning in 88 ms. Found 3 JPA repository interfaces.
2025-10-09 17:04:19.705 | main | DEBUG | o.s.b.f.s.DefaultListableBeanFactory | Creating shared instance of singleton bean 'springSecurityPathPatternParserBeanDefinitionRegistryPostProcessor'
2025-10-09 17:04:19.707 | main | DEBUG | o.s.b.f.s.DefaultListableBeanFactory | Creating shared instance of singleton bean 'springSecurityHandlerMappingIntrospectorBeanDefinitionRegistryPostProcessor'
2025-10-09 17:04:19.837 | main | DEBUG | o.s.b.f.s.DefaultListableBeanFactory | Creating shared instance of singleton bean 'propertySourcesPlaceholderConfigurer'
2025-10-09 17:04:19.844 | main | DEBUG | o.s.b.f.s.DefaultListableBeanFactory | Creating shared instance of singleton bean 'org.springframework.boot.test.mock.mockito.MockitoPostProcessor'
2025-10-09 17:04:19.847 | main | DEBUG | o.s.b.f.s.DefaultListableBeanFactory | Creating shared instance of singleton bean 'emBeanDefinitionRegistrarPostProcessor'
